Date,ACWI,AGG,EWW,IPCLARGECAP.MX,IVV,QQQ,SHY,SPY,TIP
2015-05-22,51.3689079284668,84.25423431396484,46.39540481567383,,180.0758819580078,102.3162841796875,71.80801391601562,179.20411682128906,86.64653778076172
2015-05-26,50.6729621887207,84.46142578125,45.83964157104492,,178.1195068359375,101.14002227783205,71.81645202636719,177.27740478515625,86.71558380126953
2015-05-27,51.04140853881836,84.54589080810547,46.11360168457031,,179.823974609375,102.77012634277344,71.82491302490234,178.96011352539062,86.6388931274414
2015-05-28,50.95133972167969,84.51517486572266,46.10577774047852,,179.58888244628906,102.53855895996094,71.8587646484375,178.75820922851562,86.58517456054688
2015-05-29,50.55015563964844,84.54589080810547,45.800479888916016,,178.49729919433594,101.92727661132812,71.87572479248047,177.64761352539062,86.86138916015625
2015-06-01,50.51740264892578,84.31216430664062,45.54216766357422,,178.80796813964844,102.26995086669922,71.83079528808594,178.00936889648438,86.32432556152344
2015-06-02,50.59926986694336,83.98155212402344,45.823978424072266,,178.66525268554688,101.94580841064452,71.82234954833984,177.83270263671875,85.97138214111328
2015-06-03,50.77939987182617,83.65090942382812,45.4638900756836,,179.16908264160156,102.25145721435548,71.79692840576172,178.30384826660156,85.44197845458984
2015-06-04,50.28814697265625,83.82775115966797,45.16643524169922,,177.72483825683594,101.47344207763672,71.80537414550781,176.79776000976562,85.67980194091797
2015-06-05,49.98521041870117,83.45873260498047,44.64980697631836,,177.33018493652344,101.23262786865234,71.73764038085938,176.49490356445312,85.44197845458984
2015-06-08,49.788700103759766,83.58173370361328,44.88463973999024,,176.2386016845703,100.20455932617188,71.77998352050781,175.40948486328125,85.55706024169922
2015-06-09,49.66588592529297,83.34341430664062,44.97074508666992,,176.1798858642578,100.03783416748048,71.74607849121094,175.38424682617188,85.3652572631836
2015-06-10,50.402774810791016,83.13578033447266,45.35429763793945,,178.27066040039062,101.40861511230467,71.7291488647461,177.48773193359375,85.05835723876953
2015-06-11,50.55015563964844,83.58173370361328,45.69873428344727,,178.87515258789062,101.55680084228516,71.74607849121094,178.05987548828125,85.48033142089844
2015-06-12,50.19808578491211,83.48175811767578,45.62044525146485,,177.51492309570312,100.72321319580078,71.7291488647461,176.69688415527344,85.52633666992188
2015-06-15,49.93608856201172,83.58173370361328,45.26820373535156,,176.7760009765625,100.22307586669922,71.7630386352539,175.93955993652344,85.80255889892578
2015-06-16,50.058895111083984,83.72014617919922,45.589134216308594,,177.7584228515625,100.76953887939452,71.7884750366211,176.8987579345703,86.30899047851562
2015-06-17,50.09163284301758,83.72779846191406,46.02750015258789,,178.00189208984375,101.0473861694336,71.83930969238281,177.184814453125,86.40874481201172
2015-06-18,50.591087341308594,83.70475006103516,46.262325286865234,,179.79039001464844,102.52001190185548,71.85623168945312,179.02743530273438,86.20158386230469
2015-06-19,50.28814697265625,83.96615600585938,46.05880737304688,,178.72401428222656,102.01316833496094,71.87321472167969,178.2327423095703,86.4010238647461
2015-06-22,50.89402389526367,83.55096435546875,46.340606689453125,,180.0003204345703,102.76509857177734,71.82234954833984,179.14584350585938,86.0173568725586
2015-06-23,51.0086669921875,83.35872650146484,46.356258392333984,,180.0842742919922,102.84864807128906,71.80537414550781,179.27261352539062,85.82559204101562
2015-06-24,50.64840316772461,83.48944854736328,46.02750015258789,,178.8101806640625,102.31951141357422,71.83930969238281,177.97059631347656,85.97904968261719
2015-06-25,50.49763488769531,83.39717102050781,46.00857925415039,,178.24449157714844,102.11531066894533,71.82234954833984,177.42950439453125,85.88700866699219
2015-06-26,50.44793701171875,83.19728088378906,46.01645660400391,,178.295166015625,101.4376220703125,71.77998352050781,177.39569091796875,85.50335693359375
2015-06-29,49.1639518737793,83.6893539428711,44.87333297729492,,174.54640197753906,99.04253387451172,71.89862823486328,173.67564392089844,86.13249206542969
2015-06-30,49.24679946899414,83.6355209350586,45.02312850952149,,174.96009826660156,99.3952865600586,71.89862823486328,174.0391845703125,85.97138214111328
2015-07-01,49.54502487182617,83.42445373535156,44.73931884765625,,176.327880859375,100.18436431884766,71.83761596679688,175.43423461914062,85.65681457519531
2015-07-02,49.57814407348633,83.54000854492188,45.45672225952149,,176.1168212890625,100.21221923828124,71.94775390625,175.2736053466797,86.03276824951172
2015-07-06,48.99000549316406,83.84048461914062,44.96794891357422,,175.65245056152344,99.98014068603516,71.96470642089844,174.7747802734375,86.370361328125
2015-07-07,49.03970336914063,83.95598602294922,45.078311920166016,,176.73318481445312,100.23078155517578,71.95622253417969,175.8738250732422,86.65421295166016
2015-07-08,48.045658111572266,84.15633392333984,44.41608810424805,,173.7527313232422,98.48552703857422,72.03253936767578,172.9231414794922,86.76168060302734
2015-07-09,48.44326400756836,83.84818267822266,44.68413162231445,,174.0651397705078,98.4298324584961,71.98170471191406,173.23597717285156,86.20158386230469
2015-07-10,49.47045516967773,83.4937973022461,45.25962829589844,,176.28567504882812,99.93374633789062,71.91387939453125,175.41729736328125,85.79486846923828
2015-07-13,49.85151672363281,83.3704833984375,45.42518997192383,,178.2275848388672,101.6882553100586,71.87994384765625,177.35340881347656,85.49564361572266
2015-07-14,50.15800476074219,83.5091552734375,45.701114654541016,,178.97061157226562,102.3566436767578,71.91387939453125,178.12278747558594,85.6337661743164
2015-07-15,50.02546691894531,83.73262786865234,45.39365768432617,,178.90309143066406,102.46804809570312,71.93924713134766,178.06358337402344,85.87162780761719
2015-07-16,50.38996124267578,83.80193328857422,45.53556442260742,,180.30465698242188,103.9162368774414,71.90538024902344,179.4924774169922,85.97904968261719
